ranking;project;language;stars;stars_today;forks
1;coleam00/Archon;Python;8731;1,367;0
2;emcie-co/parlant;Python;5554;1,120;0
3;DataExpert-io/data-engineer-handbook;Jupyter Notebook;36660;264;0
4;rasbt/LLMs-from-scratch;Jupyter Notebook;64727;255;0
5;enescingoz/awesome-n8n-templates;;9077;139;0
6;PixiEditor/PixiEditor;C#;4425;496;0
7;immich-app/immich;TypeScript;73212;138;0
8;Shubhamsaboo/awesome-llm-apps;Python;59480;816;0
9;MotiaDev/motia;TypeScript;6422;311;0
10;OpenBB-finance/OpenBB;Python;50161;506;0
